"","gender","SeniorCitizen","Partner","Dependents","PhoneService","MultipleLines","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","Contract","PaperlessBilling","PaymentMethod","MonthlyCharges","TotalCharges","tenure_group","Churn"
"176","Female","No","Yes","No","Yes","Yes","No","No","No","No","No","No","No","Month-to-month","No","Electronic check",24.7,780.2,"24-48 Month","No"
"177","Female","Yes","No","No","Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",74.45,1145.7,"12-24 Month","Yes"
"178","Female","Yes","No","No","Yes","No","Fiber optic","Yes","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",76.45,503.6,"0-12 Month","Yes"
"179","Female","No","Yes","Yes","Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",105.35,1559.25,"12-24 Month","No"
"180","Male","No","Yes","No","Yes","No","No","No","No","No","No","No","No","One year","Yes","Credit card (automatic)",20.55,1252,"> 60 Month","No"
"181","Female","No","No","No","No","No","DSL","No","Yes","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",29.95,29.95,"0-12 Month","Yes"
"182","Female","No","No","No","Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Mailed check",45.3,45.3,"0-12 Month","No"
"183","Male","No","No","No","Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","No","Bank transfer (automatic)",84.5,662.65,"0-12 Month","Yes"
"184","Male","No","Yes","Yes","Yes","No","DSL","Yes","No","Yes","No","Yes","Yes","One year","No","Credit card (automatic)",74.75,2453.3,"24-48 Month","No"
"185","Female","No","No","No","Yes","No","Fiber optic","No","Yes","Yes","No","No","No","Month-to-month","Yes","Electronic check",79.25,1111.65,"12-24 Month","Yes"
"186","Female","No","Yes","No","No","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",24.8,24.8,"0-12 Month","Yes"
"187","Male","No","No","No","Yes","No","DSL","No","Yes","No","No","No","No","Month-to-month","Yes","Mailed check",51.8,1023.85,"12-24 Month","No"
"188","Male","No","No","No","No","No","DSL","No","No","No","Yes","No","No","Month-to-month","No","Electronic check",30.4,82.15,"0-12 Month","No"
"189","Female","No","No","No","Yes","No","No","No","No","No","No","No","No","One year","No","Electronic check",19.65,244.8,"12-24 Month","No"
"190","Female","No","Yes","No","Yes","Yes","DSL","No","Yes","No","No","No","No","Month-to-month","No","Credit card (automatic)",56.6,2379.1,"24-48 Month","No"
"191","Male","No","Yes","Yes","Yes","Yes","DSL","Yes","No","No","Yes","No","Yes","One year","Yes","Credit card (automatic)",71.9,3173.35,"24-48 Month","No"
"192","Male","No","Yes","No","Yes","No","Fiber optic","No","Yes","Yes","No","No","Yes","Month-to-month","Yes","Electronic check",91,531,"0-12 Month","Yes"
"193","Female","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","Two year","No","Bank transfer (automatic)",19.75,1375.4,"> 60 Month","No"
"194","Female","No","Yes","Yes","Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","Two year","No","Credit card (automatic)",109.7,8129.3,"> 60 Month","No"
"195","Male","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","Two year","No","Credit card (automatic)",19.3,1192.7,"48-60 Month","No"
"196","Female","No","Yes","No","Yes","No","Fiber optic","Yes","Yes","No","Yes","Yes","No","Month-to-month","Yes","Electronic check",96.55,1901.65,"12-24 Month","No"
"197","Male","No","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","Two year","Yes","Bank transfer (automatic)",24.1,587.4,"12-24 Month","No"
"198","Male","No","No","No","Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",111.35,6519.75,"48-60 Month","No"
"199","Male","No","Yes","Yes","Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",112.25,8041.65,"> 60 Month","No"
"200","Male","No","No","Yes","Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",20.75,20.75,"0-12 Month","No"
"201","Female","No","Yes","No","Yes","No","Fiber optic","Yes","No","No","Yes","Yes","Yes","One year","Yes","Credit card (automatic)",101.9,2681.15,"24-48 Month","No"
"202","Female","No","No","No","Yes","No","Fiber optic","No","Yes","No","Yes","No","No","Month-to-month","Yes","Credit card (automatic)",80.05,1112.3,"12-24 Month","No"
"203","Male","No","Yes","Yes","Yes","Yes","Fiber optic","Yes","No","Yes","No","Yes","Yes","Two year","No","Electronic check",105.55,7405.5,"> 60 Month","No"
"204","Male","No","No","Yes","Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Credit card (automatic)",78.3,1033.95,"12-24 Month","No"
"205","Male","No","No","No","Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Credit card (automatic)",68.85,2958.95,"24-48 Month","No"
"206","Female","No","No","No","Yes","No","Fiber optic","No","Yes","No","Yes","No","No","One year","Yes","Bank transfer (automatic)",79.95,2684.85,"24-48 Month","No"
"207","Male","No","Yes","Yes","No","No","DSL","Yes","Yes","Yes","Yes","No","Yes","Two year","Yes","Credit card (automatic)",55.45,4179.2,"> 60 Month","No"
"208","Male","No","No","No","Yes","No","Fiber optic","No","No","No","No","No","Yes","Month-to-month","No","Electronic check",79.9,79.9,"0-12 Month","Yes"
"209","Female","No","No","No","Yes","No","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",106.6,1934.45,"12-24 Month","Yes"
"210","Male","No","Yes","No","Yes","No","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","One year","Yes","Credit card (automatic)",102.45,6654.1,"> 60 Month","No"
"211","Male","No","No","No","Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",46,84.5,"0-12 Month","Yes"
"212","Female","No","No","No","No","No","DSL","No","No","No","No","No","No","Month-to-month","No","Electronic check",25.25,25.25,"0-12 Month","No"
"213","Male","No","No","Yes","Yes","No","No","No","No","No","No","No","No","Two year","No","Mailed check",19.75,1124.2,"> 60 Month","No"
"214","Female","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","One year","No","Electronic check",20,540.05,"24-48 Month","No"
"215","Male","Yes","Yes","No","Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","No","Electronic check",86.8,1975.85,"12-24 Month","No"
"216","Female","No","Yes","No","No","No","DSL","Yes","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",58.75,3437.45,"48-60 Month","No"
"217","Male","No","Yes","Yes","No","No","DSL","Yes","Yes","Yes","Yes","No","No","Two year","No","Credit card (automatic)",45.25,3139.8,"> 60 Month","No"
"218","Male","No","Yes","No","No","No","DSL","Yes","Yes","Yes","Yes","Yes","No","Two year","Yes","Bank transfer (automatic)",56.6,3789.2,"> 60 Month","No"
"219","Male","No","Yes","Yes","Yes","Yes","DSL","No","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",84.2,5324.5,"> 60 Month","No"
"220","Female","No","No","No","Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",80,624.6,"0-12 Month","No"
"221","Female","No","No","No","Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",70.15,268.35,"0-12 Month","Yes"
"222","Female","No","Yes","No","Yes","Yes","No","No","No","No","No","No","No","Two year","No","Bank transfer (automatic)",24.75,1836.9,"> 60 Month","No"
"223","Male","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","One year","Yes","Electronic check",20.2,20.2,"0-12 Month","No"
"224","Male","No","Yes","No","Yes","No","DSL","No","No","No","Yes","No","No","Month-to-month","No","Mailed check",50.05,179.35,"0-12 Month","Yes"
"225","Female","No","No","No","Yes","No","No","No","No","No","No","No","No","One year","Yes","Bank transfer (automatic)",19.35,219.35,"0-12 Month","No"
"226","Male","No","No","No","No","No","DSL","Yes","No","No","No","Yes","Yes","One year","Yes","Mailed check",50.6,1288.75,"12-24 Month","No"
"227","Female","No","Yes","Yes","Yes","No","DSL","Yes","No","Yes","Yes","Yes","Yes","One year","Yes","Mailed check",81.15,2545.75,"24-48 Month","No"
"228","Female","No","Yes","No","Yes","No","DSL","No","No","No","No","Yes","No","Month-to-month","No","Mailed check",55.2,55.2,"0-12 Month","Yes"
"229","Male","No","No","No","Yes","Yes","Fiber optic","No","No","No","Yes","No","Yes","Month-to-month","Yes","Credit card (automatic)",89.9,2723.15,"24-48 Month","No"
"230","Female","No","Yes","Yes","Yes","Yes","DSL","Yes","Yes","No","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",85.3,4107.25,"24-48 Month","No"
"231","Male","No","No","No","Yes","Yes","Fiber optic","Yes","Yes","No","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",108,5760.65,"48-60 Month","No"
"232","Male","No","No","No","Yes","No","Fiber optic","Yes","Yes","No","Yes","No","Yes","Month-to-month","Yes","Credit card (automatic)",93.5,4747.5,"48-60 Month","No"
"233","Male","No","No","No","Yes","No","Fiber optic","Yes","No","No","No","No","Yes","Month-to-month","Yes","Mailed check",84.6,84.6,"0-12 Month","Yes"
"234","Female","No","No","No","Yes","No","No","No","No","No","No","No","No","Two year","No","Credit card (automatic)",20.25,1566.9,"> 60 Month","No"
"235","Female","No","No","No","Yes","Yes","No","No","No","No","No","No","No","Month-to-month","No","Electronic check",25.15,702,"24-48 Month","No"
"236","Male","No","No","No","Yes","Yes","DSL","No","Yes","No","No","No","No","Month-to-month","Yes","Mailed check",54.4,114.1,"0-12 Month","Yes"
"237","Female","No","No","No","No","No","DSL","No","No","No","Yes","No","No","Two year","Yes","Mailed check",29.6,299.05,"0-12 Month","No"
"238","Male","No","Yes","No","Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",73.15,1305.95,"12-24 Month","No"
"239","Female","Yes","No","No","Yes","No","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",95,1120.3,"0-12 Month","Yes"
"240","Male","No","No","No","Yes","No","No","No","No","No","No","No","No","Two year","No","Mailed check",19.75,284.35,"12-24 Month","No"
"241","Female","No","No","No","Yes","Yes","DSL","No","Yes","Yes","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)",86.6,6350.5,"> 60 Month","No"
"242","Male","No","No","No","Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)",109.2,7878.3,"> 60 Month","No"
"243","Female","No","Yes","Yes","Yes","No","DSL","Yes","No","No","Yes","Yes","Yes","One year","Yes","Credit card (automatic)",74.7,3187.65,"24-48 Month","No"
"244","Female","Yes","Yes","No","Yes","No","Fiber optic","Yes","Yes","Yes","No","No","Yes","Month-to-month","No","Electronic check",94.4,6126.15,"> 60 Month","No"
"245","Female","Yes","No","No","Yes","No","DSL","No","Yes","Yes","No","No","No","Month-to-month","Yes","Electronic check",54.8,731.3,"12-24 Month","No"
"246","Male","Yes","No","No","Yes","No","Fiber optic","Yes","No","No","No","No","No","Month-to-month","No","Electronic check",75.35,273.4,"0-12 Month","No"
"247","Male","No","No","No","Yes","Yes","DSL","No","No","Yes","No","No","Yes","One year","No","Mailed check",65,2531.8,"24-48 Month","No"
"248","Male","Yes","No","No","Yes","No","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",74.4,1074.3,"12-24 Month","Yes"
"249","Male","No","No","No","Yes","No","DSL","Yes","No","No","No","No","No","Month-to-month","Yes","Mailed check",48.55,48.55,"0-12 Month","Yes"
"250","Male","No","No","No","Yes","Yes","Fiber optic","Yes","Yes","Yes","No","No","Yes","One year","Yes","Electronic check",99,4298.45,"24-48 Month","No"
"251","Female","No","Yes","No","Yes","No","Fiber optic","Yes","Yes","Yes","No","Yes","No","One year","Yes","Electronic check",93.5,4619.55,"48-60 Month","No"
"252","Female","No","Yes","Yes","Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Electronic check",70.4,147.15,"0-12 Month","Yes"
"253","Male","Yes","Yes","No","No","No","DSL","No","Yes","No","No","Yes","No","Month-to-month","No","Electronic check",40.2,40.2,"0-12 Month","Yes"
"254","Male","No","No","Yes","Yes","Yes","DSL","No","Yes","Yes","Yes","Yes","Yes","One year","No","Credit card (automatic)",83.7,2633.3,"24-48 Month","No"
"255","Male","No","No","No","Yes","No","No","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",19.85,193.05,"0-12 Month","No"
"256","Female","No","Yes","Yes","No","No","DSL","No","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Electronic check",59.55,4103.9,"> 60 Month","No"
"257","Female","No","Yes","Yes","Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Credit card (automatic)",115.1,7008.15,"> 60 Month","No"
"258","Male","No","No","No","Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","One year","No","Credit card (automatic)",114.35,5791.1,"48-60 Month","No"
"259","Female","No","Yes","No","Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",44.6,80.55,"0-12 Month","Yes"
"260","Female","Yes","Yes","No","No","No","DSL","Yes","No","Yes","No","No","Yes","Month-to-month","Yes","Electronic check",45,1228.65,"24-48 Month","No"
"261","Male","Yes","No","No","No","No","DSL","No","No","Yes","No","No","Yes","Month-to-month","Yes","Electronic check",41.15,132.2,"0-12 Month","Yes"
"262","Male","Yes","No","No","Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",106.9,1364.3,"12-24 Month","Yes"
"263","Male","Yes","Yes","No","Yes","Yes","Fiber optic","No","Yes","No","No","No","Yes","Month-to-month","Yes","Electronic check",89.85,4925.35,"48-60 Month","No"
"264","Female","No","No","No","No","No","DSL","Yes","Yes","No","Yes","No","Yes","Two year","Yes","Bank transfer (automatic)",49.85,1520.1,"24-48 Month","No"
"265","Female","No","Yes","No","Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","One year","No","Mailed check",113.3,5032.25,"24-48 Month","No"
"266","Female","No","Yes","Yes","Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Mailed check",88.1,5526.75,"> 60 Month","No"
"267","Male","No","No","No","Yes","Yes","No","No","No","No","No","No","No","Two year","No","Bank transfer (automatic)",24.9,1195.25,"48-60 Month","No"
"268","Female","Yes","No","No","Yes","No","Fiber optic","Yes","Yes","No","Yes","Yes","Yes","Month-to-month","Yes","Mailed check",105,2007.25,"12-24 Month","No"
"269","Male","No","No","No","Yes","No","No","No","No","No","No","No","No","Two year","No","Mailed check",19.35,1099.6,"48-60 Month","Yes"
"270","Female","No","Yes","No","Yes","Yes","No","No","No","No","No","No","No","Two year","Yes","Credit card (automatic)",24.25,1732.95,"> 60 Month","No"
"271","Female","Yes","No","No","Yes","No","Fiber optic","No","No","No","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",94.45,1511.2,"12-24 Month","Yes"
"272","Male","No","Yes","No","Yes","No","DSL","Yes","Yes","No","Yes","No","No","Two year","Yes","Electronic check",59.75,3450.15,"48-60 Month","No"
"273","Male","No","No","No","No","No","DSL","No","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",24.8,24.8,"0-12 Month","Yes"
"274","Male","Yes","Yes","No","Yes","Yes","Fiber optic","No","Yes","No","Yes","Yes","Yes","Month-to-month","No","Electronic check",107.05,2172.05,"12-24 Month","No"
"275","Male","No","No","No","Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Mailed check",70.6,70.6,"0-12 Month","Yes"
"276","Male","No","Yes","No","Yes","Yes","Fiber optic","No","Yes","No","Yes","No","No","Month-to-month","Yes","Electronic check",85.4,401.1,"0-12 Month","Yes"
"277","Female","No","Yes","No","Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",105.05,5624.85,"48-60 Month","Yes"
"278","Male","Yes","Yes","No","Yes","No","DSL","Yes","Yes","No","No","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",64.95,1339.8,"12-24 Month","No"
"279","Male","No","No","No","No","No","DSL","No","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",55,771.95,"12-24 Month","No"
"280","Female","No","No","No","Yes","No","DSL","No","Yes","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",50.55,244.75,"0-12 Month","No"
"281","Female","No","No","No","Yes","No","DSL","Yes","Yes","No","No","No","No","Month-to-month","No","Mailed check",55.15,322.9,"0-12 Month","No"
"282","Female","No","No","No","Yes","No","DSL","No","Yes","No","No","No","No","Month-to-month","No","Electronic check",51.2,498.25,"0-12 Month","No"
"283","Female","No","No","Yes","Yes","Yes","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",25.4,25.4,"0-12 Month","No"
"284","Female","No","No","No","Yes","Yes","DSL","Yes","No","No","No","No","No","Month-to-month","No","Mailed check",54.45,3687.75,"> 60 Month","No"
"285","Male","No","Yes","Yes","Yes","No","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","No","Mailed check",95.15,1779.95,"12-24 Month","Yes"
"286","Female","No","No","No","Yes","Yes","Fiber optic","No","No","No","No","No","No","One year","Yes","Credit card (automatic)",76,1783.6,"12-24 Month","No"
"287","Female","No","No","No","Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",44.35,927.15,"12-24 Month","No"
"288","Male","No","Yes","No","Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Electronic check",70,70,"0-12 Month","Yes"
"289","Male","Yes","No","No","Yes","No","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",74.5,606.55,"0-12 Month","Yes"
"290","Male","No","No","No","Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",44.85,435.4,"0-12 Month","Yes"
"291","Male","Yes","No","No","Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",76.1,1712.7,"12-24 Month","Yes"
"292","Male","No","No","No","Yes","No","DSL","Yes","Yes","Yes","No","No","No","One year","No","Mailed check",61.2,2021.2,"24-48 Month","No"
"293","Male","No","Yes","Yes","Yes","No","Fiber optic","No","Yes","Yes","Yes","No","No","One year","No","Mailed check",86.8,1940.8,"12-24 Month","No"
"294","Female","Yes","No","No","Yes","No","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",89.35,567.8,"0-12 Month","No"
"295","Female","No","No","No","Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",19.7,220.35,"0-12 Month","No"
"296","Male","No","No","No","Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",20.25,20.25,"0-12 Month","No"
"297","Female","No","Yes","Yes","Yes","No","Fiber optic","No","No","Yes","No","No","No","Two year","No","Electronic check",76.05,5436.45,"> 60 Month","No"
"298","Male","Yes","Yes","No","Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",100.8,3437.5,"24-48 Month","No"
"299","Male","No","Yes","Yes","Yes","Yes","DSL","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",74.55,3015.75,"24-48 Month","No"
"300","Female","No","No","Yes","Yes","No","Fiber optic","Yes","No","No","No","No","No","Month-to-month","Yes","Mailed check",73.6,73.6,"0-12 Month","Yes"
"301","Male","No","No","No","Yes","No","DSL","No","No","No","No","Yes","Yes","One year","Yes","Bank transfer (automatic)",64.9,1509.8,"12-24 Month","No"
"302","Female","Yes","No","No","Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",95.45,396.1,"0-12 Month","Yes"
"303","Male","No","No","No","Yes","No","Fiber optic","No","No","Yes","Yes","No","Yes","Month-to-month","Yes","Electronic check",90.4,356.65,"0-12 Month","No"
"304","Female","No","Yes","Yes","No","No","DSL","No","Yes","Yes","Yes","Yes","Yes","Two year","No","Credit card (automatic)",60.3,4109,"> 60 Month","No"
"305","Male","No","No","Yes","Yes","Yes","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Mailed check",81.85,3141.7,"24-48 Month","No"
"306","Male","No","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","Two year","No","Mailed check",24.8,1229.1,"48-60 Month","No"
"307","Male","Yes","Yes","No","Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",74.9,2303.35,"24-48 Month","Yes"
"308","Male","No","Yes","Yes","Yes","No","DSL","No","No","Yes","Yes","Yes","Yes","Two year","No","Mailed check",75.55,2054.4,"24-48 Month","No"
"309","Male","Yes","Yes","Yes","Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","No","Electronic check",101.15,3741.85,"24-48 Month","No"
"310","Male","No","No","Yes","Yes","Yes","DSL","Yes","No","Yes","No","Yes","Yes","One year","Yes","Credit card (automatic)",78.75,3682.45,"24-48 Month","No"
"311","Female","No","No","No","Yes","No","No","No","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",19.25,19.25,"0-12 Month","No"
"312","Female","No","No","No","Yes","No","Fiber optic","Yes","No","No","Yes","No","Yes","Month-to-month","Yes","Electronic check",89.05,1886.25,"12-24 Month","No"
"313","Female","No","No","No","Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Credit card (automatic)",115.05,4895.1,"24-48 Month","No"
"314","Female","Yes","Yes","No","Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",69.35,341.6,"0-12 Month","No"
"315","Male","No","No","No","Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",80.6,415.55,"0-12 Month","Yes"
"316","Male","No","Yes","Yes","Yes","Yes","Fiber optic","Yes","Yes","No","Yes","Yes","Yes","One year","No","Credit card (automatic)",110.05,5686.4,"48-60 Month","No"
"317","Male","No","No","No","Yes","No","No","No","No","No","No","No","No","Two year","Yes","Credit card (automatic)",19.9,1355.1,"> 60 Month","No"
"318","Female","No","Yes","Yes","Yes","No","DSL","Yes","Yes","No","Yes","Yes","Yes","One year","No","Credit card (automatic)",80.3,3058.65,"24-48 Month","Yes"
"319","Male","Yes","Yes","No","Yes","No","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",93.15,2231.05,"12-24 Month","Yes"
"320","Male","No","Yes","No","Yes","Yes","Fiber optic","No","No","No","Yes","Yes","No","Month-to-month","Yes","Credit card (automatic)",91.5,3236.35,"24-48 Month","No"
"321","Female","Yes","No","No","Yes","Yes","DSL","Yes","Yes","No","Yes","Yes","Yes","One year","No","Bank transfer (automatic)",82.45,4350.1,"48-60 Month","Yes"
"322","Female","No","Yes","Yes","No","No","DSL","No","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Electronic check",60,4264,"> 60 Month","No"
"323","Male","No","No","No","Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",44.8,44.8,"0-12 Month","No"
"324","Female","No","Yes","Yes","Yes","No","DSL","Yes","No","No","No","No","No","One year","No","Mailed check",48.6,422.3,"0-12 Month","No"
"325","Male","No","No","No","No","No","DSL","Yes","Yes","No","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",60.05,4176.7,"> 60 Month","No"
"326","Female","No","Yes","No","Yes","Yes","Fiber optic","No","Yes","No","Yes","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",102.7,5138.1,"48-60 Month","No"
"327","Female","Yes","Yes","No","Yes","No","Fiber optic","No","No","No","Yes","Yes","No","Month-to-month","Yes","Electronic check",82.9,880.05,"0-12 Month","No"
"328","Female","Yes","No","No","Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",70.35,139.05,"0-12 Month","Yes"
"329","Female","Yes","Yes","Yes","No","No","DSL","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",35.9,973.65,"24-48 Month","No"
"330","Female","Yes","No","No","Yes","Yes","Fiber optic","No","No","Yes","No","No","No","Month-to-month","Yes","Credit card (automatic)",82.65,1470.05,"12-24 Month","No"
"331","Female","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","Two year","Yes","Mailed check",19.85,739.35,"24-48 Month","No"
"332","Female","No","No","No","Yes","No","No","No","No","No","No","No","No","One year","Yes","Mailed check",19.2,161.95,"0-12 Month","No"
"333","Male","No","No","No","Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","No","One year","Yes","Credit card (automatic)",94.9,4422.95,"24-48 Month","No"
"334","Female","No","No","No","Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",73.85,511.25,"0-12 Month","Yes"
"335","Female","No","No","No","Yes","Yes","Fiber optic","No","No","Yes","No","No","No","Month-to-month","No","Mailed check",80.6,155.8,"0-12 Month","Yes"
"336","Male","No","Yes","Yes","Yes","Yes","DSL","No","Yes","Yes","Yes","No","Yes","One year","Yes","Bank transfer (automatic)",75.8,5293.95,"> 60 Month","Yes"
"337","Female","No","No","No","Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Two year","Yes","Electronic check",104.6,4759.85,"24-48 Month","Yes"
"338","Female","No","No","No","Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Electronic check",88.15,6148.45,"> 60 Month","No"
"339","Female","No","No","No","Yes","No","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",94.8,3565.65,"24-48 Month","No"
"340","Male","No","Yes","No","Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",103.4,6603,"> 60 Month","Yes"
"341","Female","Yes","No","No","Yes","No","DSL","No","Yes","No","Yes","No","No","Month-to-month","No","Bank transfer (automatic)",54.65,1830.1,"24-48 Month","No"
"342","Female","No","Yes","No","Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Credit card (automatic)",85.75,6223.8,"> 60 Month","No"
"343","Female","No","Yes","Yes","Yes","Yes","DSL","Yes","Yes","Yes","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",67.45,4508.65,"> 60 Month","No"
"344","Male","No","No","No","Yes","No","No","No","No","No","No","No","No","One year","No","Mailed check",20.5,1328.15,"> 60 Month","No"
"345","Female","No","No","Yes","Yes","No","No","No","No","No","No","No","No","One year","Yes","Credit card (automatic)",20.25,865,"24-48 Month","No"
"346","Female","Yes","No","No","Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",72.1,72.1,"0-12 Month","No"
"347","Female","No","No","No","Yes","No","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",90.4,168.2,"0-12 Month","Yes"
"348","Female","No","Yes","No","Yes","No","No","No","No","No","No","No","No","Two year","No","Bank transfer (automatic)",19.45,1303.5,"> 60 Month","No"
"349","Female","No","No","No","No","No","DSL","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",44.95,996.85,"12-24 Month","No"
"350","Female","Yes","Yes","No","Yes","No","Fiber optic","Yes","Yes","Yes","No","No","Yes","One year","No","Bank transfer (automatic)",97,6430.9,"> 60 Month","No"
"351","Male","No","Yes","Yes","Yes","Yes","DSL","Yes","No","Yes","Yes","No","No","Two year","Yes","Credit card (automatic)",62.8,2278.75,"24-48 Month","No"
"352","Male","No","No","Yes","Yes","No","DSL","No","No","No","No","No","No","One year","No","Mailed check",44.6,681.4,"12-24 Month","No"
